x	y	set
-0.759895977279739	-0.482244651307892	2
-0.728116103954447	-0.529007314848478	2
-0.693462689011453	-0.57368222819781	2
-0.656072493647898	-0.616093079882926	2
-0.616093079882926	-0.656072493647898	2
-0.573682228197811	-0.693462689011453	2
-0.529007314848478	-0.728116103954447	2
-0.482244651307892	-0.759895977279739	2
-0.433578788445218	-0.788676888346157	2
-0.383201788187857	-0.81434525204647	2
-0.331312465540763	-0.836799767075912	2
-0.278115603954447	-0.855951815722155	2
-0.223821147138256	-0.871725813598929	2
-0.168643370508467	-0.884059507943071	2
-0.112800035541108	-0.892904223297731	2
-0.0565115303669017	-0.898225053612173	2
-5.55111512312578e-17	-0.900001	2
0.0565115303669016	-0.898225053612173	2
0.112800035541107	-0.892904223297731	2
0.168643370508467	-0.884059507943071	2
0.223821147138257	-0.871725813598929	2
0.278115603954447	-0.855951815722155	2
-1.01701328776822	-0.261124630212985	2
-0.998610293166427	-0.324468153110689	2
-0.97626623995915	-0.386531148443464	2
-0.950069309916373	-0.447068681922618	2
-0.920122890352737	-0.505841839560475	2
-0.886545166105041	-0.562618670554741	2
-0.849468653110689	-0.617175102692349	2
-0.809039675427821	-0.669295826660114	2
-0.765417787761109	-0.718775145772229	2
-0.718775145772229	-0.76541778776111	2
-0.669295826660114	-0.809039675427822	2
-0.617175102692349	-0.849468653110689	2
-0.562618670554741	-0.886545166105041	2
-0.505841839560475	-0.920122890352737	2
-0.447068681922618	-0.950069309916373	2
-0.386531148443465	-0.97626623995915	2
-0.324468153110689	-0.998610293166427	2
-0.261124630212985	-1.01701328776822	2
-0.196750567696326	-1.03140259555237	2
-0.131600020575753	-1.0417214284949	2
-0.0659301082962988	-1.04792906287641	2
-5.55111512312578e-17	-1.050001	2
0.0659301082962986	-1.04792906287641	2
0.131600020575753	-1.0417214284949	2
0.196750567696325	-1.03140259555237	2
0.261124630212985	-1.01701328776822	2
-1.16230076193752	-0.298428113287713	2
-1.1412687706107	-0.370820702266931	2
-1.11573271284239	-0.441749831346166	2
-1.08579336778628	-0.510935575657379	2
-1.05156889235932	-0.578104890675733	2
-1.01319435493034	-0.642992689801591	2
-0.970821202266931	-0.70534289053622	2
-0.92461666184419	-0.764909425122417	2
-0.874763081874321	-0.821457211661532	2
-0.821457211661533	-0.874763081874321	2
-0.764909425122417	-0.92461666184419	2
-0.70534289053622	-0.970821202266931	2
-0.642992689801591	-1.01319435493034	2
-0.578104890675732	-1.05156889235932	2
-0.510935575657379	-1.08579336778628	2
-0.441749831346166	-1.11573271284239	2
-0.370820702266931	-1.1412687706107	2
-0.298428113287713	-1.16230076193752	2
-0.224857764884184	-1.17874568316168	2
-0.150400005610399	-1.19053863369207	2
-0.0753486862256958	-1.19763307214065	2
-5.55111512312578e-17	-1.200001	2
0.0753486862256956	-1.19763307214065	2
0.150400005610399	-1.19053863369207	2
0.224857764884184	-1.17874568316168	2
-1.28392724805497	-0.417173251423173	2
-1.25519918572563	-0.496968514248868	2
-1.22151742565618	-0.57480246939214	2
-1.1830148943659	-0.65036794179099	2
-1.13984354375565	-0.72336670904844	2
-1.09217375142317	-0.793510678380091	2
-1.04019364826056	-0.860523023584721	2
-0.984108375987533	-0.924139277550836	2
-0.924139277550836	-0.984108375987533	2
-0.860523023584721	-1.04019364826056	2
-0.793510678380091	-1.09217375142317	2
-0.72336670904844	-1.13984354375565	2
-0.65036794179099	-1.1830148943659	2
-0.57480246939214	-1.22151742565618	2
-0.496968514248868	-1.25519918572563	2
-0.417173251423174	-1.28392724805497	2
-0.335731596362441	-1.30758823610681	2
-0.252964962072043	-1.32608877077098	2
-0.169199990645045	-1.33935583888925	2
-0.0847672641550928	-1.34733708140489	2
-5.55111512312578e-17	-1.350001	2
0.0847672641550926	-1.34733708140489	2
0.169199990645044	-1.33935583888925	2
0.252964962072043	-1.32608877077098	2
-0.0203387811539313	0	2
-0.0202986472152766	-0.00127708263524834	2
-0.020178403789633	-0.00254912520877892	2
-0.0199785254228676	-0.00381110754969499	2
-0.0196998009435781	-0.00505804919024183	2
-0.0193433303499474	-0.00628502902143768	2
-0.0189105204685524	-0.00748720471444253	2
-0.018403079402263	-0.00865983183101793	2
-0.0178230097891402	-0.00979828254765713	2
-0.0171726008989382	-0.0108980639194902	2
-0.0164544195984033	-0.0119548356118849	2
-0.0156713002210227	-0.0129644270297643	2
-0.0148263333812058	-0.0139228537770406	2
-0.0139228537770406	-0.0148263333812058	2
-0.0129644270297643	-0.0156713002210227	2
-0.0119548356118849	-0.0164544195984033	2
-0.0108980639194902	-0.0171726008989382	2
-0.00979828254765713	-0.0178230097891402	2
-0.00865983183101793	-0.018403079402263	2
-0.00748720471444253	-0.0189105204685524	2
-0.00628502902143768	-0.0193433303499474	2
-0.00505804919024183	-0.0196998009435781	2
-0.00381110754969499	-0.0199785254228676	2
-0.00254912520877892	-0.020178403789633	2
-0.00127708263524834	-0.0202986472152766	2
0	-0.0203387811539313	2
0.00127708263524834	-0.0202986472152766	2
0.00254912520877892	-0.020178403789633	2
0.00381110754969499	-0.0199785254228676	2
0.00505804919024183	-0.0196998009435781	2
0.00628502902143768	-0.0193433303499474	2
0.00748720471444247	-0.0189105204685524	2
0.00865983183101793	-0.018403079402263	2
0.00979828254765713	-0.0178230097891402	2
0.0108980639194902	-0.0171726008989382	2
0.0119548356118849	-0.0164544195984033	2
0.0129644270297643	-0.0156713002210227	2
0.0139228537770406	-0.0148263333812058	2
0.0148263333812058	-0.0139228537770406	2
0.0156713002210227	-0.0129644270297643	2
0.0164544195984033	-0.0119548356118849	2
0.0171726008989382	-0.0108980639194902	2
0.0178230097891402	-0.00979828254765713	2
0.018403079402263	-0.00865983183101793	2
0.0189105204685524	-0.00748720471444253	2
0.0193433303499474	-0.00628502902143768	2
0.0196998009435781	-0.00505804919024183	2
0.0199785254228676	-0.00381110754969499	2
0.020178403789633	-0.00254912520877892	2
0.0202986472152766	-0.00127708263524834	2
0.0203387811539313	0	2
0.0202986472152766	0.00127708263524834	2
0.020178403789633	0.00254912520877892	2
0.0199785254228676	0.00381110754969499	2
0.0196998009435781	0.00505804919024183	2
0.0193433303499474	0.00628502902143768	2
0.0189105204685524	0.00748720471444253	2
0.018403079402263	0.00865983183101787	2
0.0178230097891402	0.00979828254765713	2
0.0171726008989383	0.0108980639194902	2
0.0164544195984033	0.0119548356118849	2
0.0156713002210227	0.0129644270297643	2
0.0148263333812058	0.0139228537770406	2
0.0139228537770406	0.0148263333812058	2
0.0129644270297643	0.0156713002210227	2
0.0119548356118849	0.0164544195984033	2
0.0108980639194902	0.0171726008989383	2
0.00979828254765713	0.0178230097891402	2
0.00865983183101787	0.018403079402263	2
0.00748720471444253	0.0189105204685524	2
0.00628502902143768	0.0193433303499474	2
0.00505804919024183	0.0196998009435781	2
0.00381110754969499	0.0199785254228676	2
0.00254912520877892	0.020178403789633	2
0.00127708263524834	0.0202986472152766	2
0	0.0203387811539313	2
-0.00127708263524834	0.0202986472152766	2
-0.00254912520877892	0.020178403789633	2
-0.00381110754969499	0.0199785254228676	2
-0.00505804919024183	0.0196998009435781	2
-0.00628502902143768	0.0193433303499474	2
-0.00748720471444247	0.0189105204685524	2
-0.00865983183101787	0.018403079402263	2
-0.00979828254765713	0.0178230097891402	2
-0.0108980639194902	0.0171726008989382	2
-0.0119548356118849	0.0164544195984033	2
-0.0129644270297643	0.0156713002210227	2
-0.0139228537770406	0.0148263333812058	2
-0.0148263333812058	0.0139228537770406	2
-0.0156713002210227	0.0129644270297643	2
-0.0164544195984033	0.0119548356118849	2
-0.0171726008989382	0.0108980639194902	2
-0.0178230097891402	0.00979828254765713	2
-0.018403079402263	0.00865983183101793	2
-0.0189105204685524	0.00748720471444253	2
-0.0193433303499474	0.00628502902143768	2
-0.0196998009435781	0.00505804919024183	2
-0.0199785254228676	0.00381110754969499	2
-0.020178403789633	0.00254912520877892	2
-0.0202986472152766	0.00127708263524834	2
